 ira =        73852   masha =        88215
           0           0       73852
           0          -1       73502
           1          -1       73503
           2          -1       73504
           3          -1       73505
           3          -2       73155
           3          -3       72805
           2          -3       72804
           1          -3       72803
           1          -4       72453
           2          -4       72454
           3          -4       72455
           4          -4       72456
           4          -3       72806
           5          -3       72807
           6          -3       72808
           6          -4       72458
           7          -4       72459
           7          -3       72809
           7          -2       73159
           8          -2       73160
           9          -2       73161
           9          -1       73511
          10          -1       73512
          10           0       73862
           9           0       73861
           8           0       73860
           8          -1       73510
           7          -1       73509
           6          -1       73508
           6          -2       73158
           5          -2       73157
           4          -2       73156
           4          -1       73506
           4           0       73856
           3           0       73855
           3           1       74205
           2           1       74204
           2           2       74554
           1           2       74553
           1           1       74203
           0           1       74202
           0           2       74552
          -1           2       74551
          -1           3       74901
           0           3       74902
           1           3       74903
           1           4       75253
           0           4       75252
           0           5       75602
           1           5       75603
           1           6       75953
           0           6       75952
          -1           6       75951
          -1           7       76301
           0           7       76302
           0           8       76652
          -1           8       76651
          -2           8       77000
          -2           7       76650
          -3           7       76649
          -3           8       76999
          -4           8       76998
          -4           9       77348
          -4          10       77698
          -4          11       78048
          -4          12       78398
          -4          13       78748
          -5          13       78747
          -6          13       78746
          -7          13       78745
          -8          13       78744
          -8          12       78394
          -8          11       78044
          -8          10       77694
          -9          10       77693
          -9           9       77343
          -9           8       76993
          -9           7       76643
          -8           7       76644
          -8           8       76994
          -8           9       77344
          -7           9       77345
          -7          10       77695
          -6          10       77696
          -6           9       77346
          -5           9       77347
          -5           8       76997
          -6           8       76996
          -7           8       76995
          -7           7       76645
          -6           7       76646
          -6           6       76296
          -5           6       76297
          -5           7       76647
          -4           7       76648
          -4           6       76298
          -3           6       76299
          -2           6       76300
          -2           5       75950
          -3           5       75949
          -3           4       75599
          -3           3       75249
          -4           3       75248
          -5           3       75247
          -5           2       74897
          -6           2       74896
          -6           1       74546
          -5           1       74547
          -5           0       74197
          -4           0       74198
          -4           1       74548
          -3           1       74549
          -2           1       74550
          -1           1       74201
          -1           0       73851
          -1          -1       73501
          -1          -2       73151
          -1          -3       72801
          -1          -4       72451
           0          -4       72452
           0          -5       72102
          -1          -5       72101
          -2          -5       72450
          -3          -5       72449
          -3          -6       72099
          -3          -7       71749
          -3          -8       71399
          -2          -8       71400
          -2          -9       71050
          -3          -9       71049
          -4          -9       71048
          -4          -8       71398
          -4          -7       71748
          -4          -6       72098
          -4          -5       72448
          -5          -5       72447
          -5          -6       72097
          -6          -6       72096
          -6          -5       72446
          -6          -4       72796
          -6          -3       73146
          -6          -2       73496
          -6          -1       73846
          -6           0       74196
          -7           0       74195
          -8           0       74194
          -8          -1       73844
          -7          -1       73845
          -7          -2       73495
          -8          -2       73494
          -9          -2       73493
         -10          -2       73492
         -11          -2       73491
         -12          -2       73490
         -12          -3       73140
         -13          -3       73139
         -13          -4       72789
         -14          -4       72788
         -14          -5       72438
         -15          -5       72437
         -15          -4       72787
         -15          -3       73137
         -14          -3       73138
         -14          -2       73488
         -13          -2       73489
         -13          -1       73839
         -13           0       74189
         -12           0       74190
         -11           0       74191
         -10           0       74192
         -10           1       74542
         -10           2       74892
         -11           2       74891
         -11           1       74541
         -12           1       74540
         -13           1       74539
         -14           1       74538
         -15           1       74537
         -15           0       74187
         -15          -1       73837
         -16          -1       73836
         -17          -1       73835
         -18          -1       73834
         -19          -1       73833
         -19           0       74183
         -18           0       74184
         -18           1       74534
         -18           2       74884
         -18           3       75234
         -17           3       75235
         -17           2       74885
         -16           2       74886
         -15           2       74887
         -15           3       75237
         -16           3       75236
         -16           4       75586
         -16           5       75936
         -16           6       76286
         -15           6       76287
         -15           7       76637
         -16           7       76636
         -16           8       76986
         -16           9       77336
         -15           9       77337
         -14           9       77338
         -13           9       77339
         -13          10       77689
         -14          10       77688
         -15          10       77687
         -15          11       78037
         -15          12       78387
         -16          12       78386
         -16          13       78736
         -17          13       78735
         -17          14       79085
         -16          14       79086
         -15          14       79087
         -15          13       78737
         -14          13       78738
         -14          14       79088
         -14          15       79438
         -15          15       79437
         -15          16       79787
         -16          16       79786
         -16          17       80136
         -15          17       80137
         -14          17       80138
         -13          17       80139
         -13          18       80489
         -13          19       80839
         -12          19       80840
         -12          20       81190
         -13          20       81189
         -14          20       81188
         -15          20       81187
         -16          20       81186
         -16          19       80836
         -15          19       80837
         -14          19       80838
         -14          18       80488
         -15          18       80487
         -16          18       80486
         -17          18       80485
         -17          19       80835
         -18          19       80834
         -18          18       80484
         -18          17       80134
         -17          17       80135
         -17          16       79785
         -17          15       79435
         -18          15       79434
         -19          15       79433
         -19          14       79083
         -19          13       78733
         -18          13       78734
         -18          12       78384
         -18          11       78034
         -18          10       77684
         -19          10       77683
         -19          11       78033
         -20          11       78032
         -20          10       77682
         -21          10       77681
         -21          11       78031
         -21          12       78381
         -20          12       78382
         -20          13       78732
         -20          14       79082
         -20          15       79432
         -20          16       79782
         -20          17       80132
         -21          17       80131
         -22          17       80130
         -22          16       79780
         -21          16       79781
         -21          15       79431
         -22          15       79430
         -23          15       79429
         -23          16       79779
         -24          16       79778
         -24          15       79428
         -25          15       79427
         -25          16       79777
         -25          17       80127
         -24          17       80128
         -24          18       80478
         -23          18       80479
         -22          18       80480
         -21          18       80481
         -21          19       80831
         -21          20       81181
         -20          20       81182
         -19          20       81183
         -19          21       81533
         -20          21       81532
         -21          21       81531
         -22          21       81530
         -22          22       81880
         -21          22       81881
         -21          23       82231
         -22          23       82230
         -22          24       82580
         -21          24       82581
         -21          25       82931
         -20          25       82932
         -20          26       83282
         -19          26       83283
         -18          26       83284
         -17          26       83285
         -16          26       83286
         -15          26       83287
         -14          26       83288
         -14          25       82938
         -13          25       82939
         -13          24       82589
         -14          24       82588
         -15          24       82587
         -15          25       82937
         -16          25       82936
         -16          24       82586
         -17          24       82585
         -18          24       82584
         -19          24       82583
         -20          24       82582
         -20          23       82232
         -19          23       82233
         -18          23       82234
         -18          22       81884
         -17          22       81885
         -17          23       82235
         -16          23       82236
         -16          22       81886
         -15          22       81887
         -15          23       82237
         -14          23       82238
         -14          22       81888
         -13          22       81889
         -13          23       82239
         -12          23       82240
         -12          24       82590
         -12          25       82940
         -11          25       82941
         -11          24       82591
         -10          24       82592
         -10          23       82242
         -11          23       82241
         -11          22       81891
         -11          21       81541
         -11          20       81191
         -11          19       80841
         -11          18       80491
         -10          18       80492
          -9          18       80493
          -9          19       80843
         -10          19       80842
         -10          20       81192
         -10          21       81542
          -9          21       81543
          -8          21       81544
          -7          21       81545
          -7          20       81195
          -6          20       81196
          -6          21       81546
          -5          21       81547
          -4          21       81548
          -4          22       81898
          -5          22       81897
          -5          23       82247
          -4          23       82248
          -4          24       82598
          -5          24       82597
          -6          24       82596
          -6          23       82246
          -6          22       81896
          -7          22       81895
          -7          23       82245
          -7          24       82595
          -7          25       82945
          -7          26       83295
          -7          27       83645
          -7          28       83995
          -7          29       84345
          -8          29       84344
          -8          28       83994
          -8          27       83644
          -8          26       83294
          -9          26       83293
          -9          27       83643
         -10          27       83642
         -10          28       83992
         -11          28       83991
         -11          29       84341
         -10          29       84342
          -9          29       84343
          -9          30       84693
          -8          30       84694
          -8          31       85044
          -8          32       85394
          -7          32       85395
          -7          31       85045
          -7          30       84695
          -6          30       84696
          -6          29       84346
          -6          28       83996
          -5          28       83997
          -5          27       83647
          -4          27       83648
          -3          27       83649
          -3          28       83999
          -4          28       83998
          -4          29       84348
          -3          29       84349
          -3          30       84699
          -4          30       84698
          -5          30       84697
          -5          31       85047
          -6          31       85046
          -6          32       85396
          -6          33       85746
          -7          33       85745
          -8          33       85744
          -9          33       85743
          -9          32       85393
         -10          32       85392
         -11          32       85391
         -12          32       85390
         -12          33       85740
         -11          33       85741
         -11          34       86091
         -10          34       86092
         -10          35       86442
          -9          35       86443
          -8          35       86444
          -8          36       86794
          -9          36       86793
          -9          37       87143
          -8          37       87144
          -8          38       87494
          -7          38       87495
          -7          39       87845
          -6          39       87846
          -5          39       87847
          -5          40       88197
          -5          41       88547
          -4          41       88548
          -4          40       88198
          -3          40       88199
          -2          40       88200
          -2          41       88550
          -1          41       88201
           0          41       88202
           0          40       87852
           1          40       87853
           2          40       87854
           2          39       87504
           3          39       87505
           3          40       87855
           3          41       88205
           3          42       88555
           3          43       88905
           3          44       89255
           4          44       89256
           5          44       89257
           6          44       89258
           7          44       89259
           7          45       89609
           7          46       89959
           8          46       89960
           8          47       90310
           7          47       90309
           7          48       90659
           7          49       91009
           8          49       91010
           8          50       91360
           9          50       91361
           9          49       91011
           9          48       90661
          10          48       90662
          10          47       90312
           9          47       90311
           9          46       89961
          10          46       89962
          10          45       89612
           9          45       89611
           8          45       89610
           8          44       89260
           9          44       89261
           9          43       88911
           8          43       88910
           8          42       88560
           8          41       88210
           9          41       88211
           9          42       88561
          10          42       88562
          11          42       88563
          11          41       88213
          12          41       88214
          12          42       88564
          13          42       88565
          13          41       88215
